web-scraper-order,web-scraper-start-url,complaint,complaint-href,text,tex2,images-src
1731179587-11,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         19:06,  3 Pri 2017,
                Përditësimi i fundit 11:39, 19 Pri 2017",https://ndreqe.com/report/392,"Raportuar në kategorinë Ndriçim publik nga anonim në 19:06, H�n  3 prill 2017",Mungesa e ndriqimit publik. Kerkese urgjente nga qytetaret,/photo/392.0.jpeg?b6b51ce5
1731179587-12,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         19:06,  3 Pri 2017,
                Përditësimi i fundit 11:39, 19 Pri 2017",https://ndreqe.com/report/392,"Raportuar në kategorinë Ndriçim publik nga anonim në 19:06, H�n  3 prill 2017",Mungesa e ndriqimit publik. Kerkese urgjente nga qytetaret,/photo/392.1.jpeg?bb6147b7
1731179587-13,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         19:06,  3 Pri 2017,
                Përditësimi i fundit 11:39, 19 Pri 2017",https://ndreqe.com/report/392,"Raportuar në kategorinë Ndriçim publik nga anonim në 19:06, H�n  3 prill 2017",Mungesa e ndriqimit publik. Kerkese urgjente nga qytetaret,/photo/392.2.jpeg?31cf66a5
1731179590-14,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         19:10,  3 Pri 2017,
                Përditësimi i fundit 11:39, 19 Pri 2017",https://ndreqe.com/report/393,"Raportuar në kategorinë Ndriçim publik nga anonim në 19:10, H�n  3 prill 2017",Nuk eksiston ndrcimi publik,/photo/393.0.jpeg?e10bc573
1731179594-15,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Trotuar i dëmtuar
         15:13, 23 Pri 2017,
                Përditësimi i fundit 13:27, 24 Pri 2017",https://ndreqe.com/report/497,"Raportuar në kategorinë Trotuar i dëmtuar nga anonim në 15:13, Die 23 prill 2017",*rruga nuk eshte rregulluar si duhet eshte lene e pakryer me premtim se do vin ta rregullojn mirpo nuk kan ardhe asnje her,/photo/497.0.jpeg?de6da043
1731179597-16,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Trotuar i dëmtuar
         21:53, 28 Pri 2017,
                Përditësimi i fundit 08:27,  2 Maj 2017",https://ndreqe.com/report/540,"Raportuar në kategorinë Trotuar i dëmtuar nga anonim në 21:53, Pre 28 prill 2017",*Kjo gropë ndodhet në platonë e qendrës tregtare te Bregu i Diellit,/photo/540.0.jpeg?d7ac8c14
1731179597-17,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Trotuar i dëmtuar
         21:53, 28 Pri 2017,
                Përditësimi i fundit 08:27,  2 Maj 2017",https://ndreqe.com/report/540,"Raportuar në kategorinë Trotuar i dëmtuar nga anonim në 21:53, Pre 28 prill 2017",*Kjo gropë ndodhet në platonë e qendrës tregtare te Bregu i Diellit,/photo/540.1.jpeg?4d83916c
1731179597-18,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Trotuar i dëmtuar
         21:53, 28 Pri 2017,
                Përditësimi i fundit 08:27,  2 Maj 2017",https://ndreqe.com/report/540,"Raportuar në kategorinë Trotuar i dëmtuar nga anonim në 21:53, Pre 28 prill 2017",*Kjo gropë ndodhet në platonë e qendrës tregtare te Bregu i Diellit,/photo/540.2.jpeg?dfd3ac24
1731179600-19,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         18:46,  5 Maj 2017,
                Përditësimi i fundit 08:50,  8 Maj 2017",https://ndreqe.com/report/574,"Raportuar në kategorinë Mbeturina nga anonim në 18:46, Pre  5 maj 2017",*ne rrugen Agim Prodani nuk ka fare Kontenjer per mbledhjen e mbeturinave dhe askush nuk vije per te marr mbeturinat keshtu qe banoret detyrohen te bejn zgjedhje te ndryshme e shumica i hudhin mbeturinat ne hapsirat per-rreth gje e cila paraqet edhe rrezik per femijet e kesaj lagje si nga qent endacak ashtu edhe nga ndonje kontaminim i mundshem me rritjen e temperaturave .,/photo/574.0.jpeg?eb951357
1731179600-20,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         18:46,  5 Maj 2017,
                Përditësimi i fundit 08:50,  8 Maj 2017",https://ndreqe.com/report/574,"Raportuar në kategorinë Mbeturina nga anonim në 18:46, Pre  5 maj 2017",*ne rrugen Agim Prodani nuk ka fare Kontenjer per mbledhjen e mbeturinave dhe askush nuk vije per te marr mbeturinat keshtu qe banoret detyrohen te bejn zgjedhje te ndryshme e shumica i hudhin mbeturinat ne hapsirat per-rreth gje e cila paraqet edhe rrezik per femijet e kesaj lagje si nga qent endacak ashtu edhe nga ndonje kontaminim i mundshem me rritjen e temperaturave .,/photo/574.1.jpeg?8bda64f5
1731179603-21,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         14:45,  7 Maj 2017,
                Përditësimi i fundit 08:57,  8 Maj 2017",https://ndreqe.com/report/578,"Raportuar në kategorinë Ndriçim publik nga anonim në 14:45, Die  7 maj 2017","*Kjo rruge gjendet ne lagjen Mati 2 ne Prishtine , kjo rruge ekziston qe 20 vite ka dhe kjo rruge nuk ka as ndriçim dhe as emer te rruges ku edhe po kemi probleme rreth adreses per poste.",/photo/578.0.jpeg?abb44b70
1731179606-22,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         10:44, 23 Mar 2017,
                Përditësimi i fundit 13:15, 11 Maj 2017",https://ndreqe.com/report/320,"Raportuar në kategorinë Ndriçim publik nga anonim në 10:44, Enj 23 mars 2017","**Ketu ne kete rruge 2 llampa shumicen e kohes nuk punojn. Une jam banor i ksaj lagje qe 33 vite, pasi qe kam lind e jam rrit ne kete lagje. 2 llampat shumicen e kohes nuk dhezen pasi qe ketu ka hajna bash ne keto 2 hymje edhe shume shpesh ka ndodh vjedhje qe realisht i shqetson krejt banoret e kesaj rruge. Verejtje: Ne foto nuk eshte e ilustruar aq mire por qe sot ne mramje mundem me i bo fotot me te mira qe te verehet qart.",/photo/320.0.jpeg?d2cd004f
1731179609-23,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         19:07, 16 Maj 2017",https://ndreqe.com/report/641,"Raportuar në kategorinë Smeće nga anonim në 19:07, Mar 16 maj 2017",**,/photo/641.0.jpeg?b5f2ac00
1731179612-24,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         12:26, 17 Maj 2017,
                Përditësimi i fundit 12:25, 22 Maj 2017",https://ndreqe.com/report/648,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 12:26, M�r 17 maj 2017","Para 2 viteve komuna e prishtines, ujsjellsi e ka hapur nje grup per ndreqjen e ujsjellsit dhe prej asaj dite rruga eshte e prishur.",/photo/648.0.jpeg?d2fc36e7
1731179615-25,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         20:12, 13 Maj 2017,
                Përditësimi i fundit 13:02, 22 Maj 2017",https://ndreqe.com/report/612,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 20:12, Sht 13 maj 2017","*Pershendetje Po ju shkruaj per kete rruge e cila gjendet ne lagjen Qosaj ne fshatin Prapashtice te komunes se Prishtines. Rruga perveqe qe nuk eshte asfaltuar ende per kunder kerkesave te vazhdueshme nga banoret,kjo rruge paraqet edhe rrezik te madh per banoret pershkake te rreshqitjes se dheut sidomos pas reshjeve.Kerkojme nga komuna qe kjo rruge te rregullohet sa me shpejte dhe te mirren parasysh kerkesat e banoreve tash e sa vite.",/photo/612.0.jpeg?93597297
1731179615-26,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         20:12, 13 Maj 2017,
                Përditësimi i fundit 13:02, 22 Maj 2017",https://ndreqe.com/report/612,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 20:12, Sht 13 maj 2017","*Pershendetje Po ju shkruaj per kete rruge e cila gjendet ne lagjen Qosaj ne fshatin Prapashtice te komunes se Prishtines. Rruga perveqe qe nuk eshte asfaltuar ende per kunder kerkesave te vazhdueshme nga banoret,kjo rruge paraqet edhe rrezik te madh per banoret pershkake te rreshqitjes se dheut sidomos pas reshjeve.Kerkojme nga komuna qe kjo rruge te rregullohet sa me shpejte dhe te mirren parasysh kerkesat e banoreve tash e sa vite.",/photo/612.1.jpeg?5488a9a0
1731179615-27,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         20:12, 13 Maj 2017,
                Përditësimi i fundit 13:02, 22 Maj 2017",https://ndreqe.com/report/612,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 20:12, Sht 13 maj 2017","*Pershendetje Po ju shkruaj per kete rruge e cila gjendet ne lagjen Qosaj ne fshatin Prapashtice te komunes se Prishtines. Rruga perveqe qe nuk eshte asfaltuar ende per kunder kerkesave te vazhdueshme nga banoret,kjo rruge paraqet edhe rrezik te madh per banoret pershkake te rreshqitjes se dheut sidomos pas reshjeve.Kerkojme nga komuna qe kjo rruge te rregullohet sa me shpejte dhe te mirren parasysh kerkesat e banoreve tash e sa vite.",/photo/612.2.jpeg?70408511
1731179618-28,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ujëra të zeza
         10:30, 17 Maj 2017,
                Përditësimi i fundit 07:16, 23 Maj 2017",https://ndreqe.com/report/647,"Raportuar në kategorinë Ujëra të zeza nga anonim në 10:30, M�r 17 maj 2017",*Kanalizimi i bllokuar.,/photo/647.0.jpeg?934f5992
1731179621-29,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         18:37,  1 Qer 2017,
                Përditësimi i fundit 08:10, 12 Qer 2017",https://ndreqe.com/report/710,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:37, Enj  1 qershor 2017",Mungese e ndriqimit publik,/photo/710.0.jpeg?6750f159
1731179624-30,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         18:51,  7 Qer 2017,
                Përditësimi i fundit 08:28, 12 Qer 2017",https://ndreqe.com/report/744,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:51, M�r  7 qershor 2017",*Rruga Kreshniket Bernic e Poshtme SKA NDRIQIM PUBLIK MBETURINA QEN ENDACAK JU KISHA LUT ME INTERVENU SA MA SHPEJT ME MONTU NDRIQIM PUBLIK,/photo/744.0.jpeg?e332d6ce
1731179624-31,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         18:51,  7 Qer 2017,
                Përditësimi i fundit 08:28, 12 Qer 2017",https://ndreqe.com/report/744,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:51, M�r  7 qershor 2017",*Rruga Kreshniket Bernic e Poshtme SKA NDRIQIM PUBLIK MBETURINA QEN ENDACAK JU KISHA LUT ME INTERVENU SA MA SHPEJT ME MONTU NDRIQIM PUBLIK,/photo/744.1.jpeg?ebe432fd
1731179628-32,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ujëra të zeza
         09:22,  3 Qer 2017,
                Përditësimi i fundit 09:27, 15 Qer 2017",https://ndreqe.com/report/715,"Raportuar në kategorinë Ujëra të zeza nga anonim në 09:22, Sht  3 qershor 2017","*kanalizimi eshte I instalum keq Po kem problem me ujin e ndotur nonstop eshte ne rrug, Ju lutem tegullone mos te kem problem seeeshte ne pytjhe edhe shendeti ka mundesi per infrksion, rruga vidovdanska ne berr ic te poshtem prishtine",/photo/715.0.jpeg?4e0d5d73
1731179631-33,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Trotuar i dëmtuar
         20:11, 17 Qer 2017,
                Përditësimi i fundit 07:32, 14 Kor 2017",https://ndreqe.com/report/771,"Raportuar në kategorinë Trotuar i dëmtuar nga anonim në 20:11, Sht 17 qershor 2017",*Shakllet qe jane pas tunelit jane te demutara dhe rrezikojne shume ecjen per femije dhe te moshuar,/photo/771.0.jpeg?d80e1f79
1731179635-34,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Trotuar i dëmtuar
         09:42, 14 Kor 2017,
                Përditësimi i fundit 09:20, 18 Kor 2017",https://ndreqe.com/report/816,"Raportuar në kategorinë Trotuar i dëmtuar nga anonim në 09:42, Pre 14 korrik 2017","Pas shtrimit nga Komuna te trotuarit vite me pare, zallin qe perdoret per fazen finale pas shtrimit te kockave ne trotuar nuk eshte larguar. Po ashtu me kohe eshte grumbulluar edhe zall tjeter, pershkak te mirembajtjes se rruges gjate dimrit.",/photo/816.0.jpeg?c16f0529
1731179635-35,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Trotuar i dëmtuar
         09:42, 14 Kor 2017,
                Përditësimi i fundit 09:20, 18 Kor 2017",https://ndreqe.com/report/816,"Raportuar në kategorinë Trotuar i dëmtuar nga anonim në 09:42, Pre 14 korrik 2017","Pas shtrimit nga Komuna te trotuarit vite me pare, zallin qe perdoret per fazen finale pas shtrimit te kockave ne trotuar nuk eshte larguar. Po ashtu me kohe eshte grumbulluar edhe zall tjeter, pershkak te mirembajtjes se rruges gjate dimrit.",/photo/816.1.jpeg?b12e6b5a
1731179638-36,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         20:53,  5 Gsh 2017,
                Përditësimi i fundit 09:03,  9 Gsh 2017",https://ndreqe.com/report/855,"Raportuar në kategorinë Ndriçim publik nga anonim në 20:53, Sht  5 gusht 2017",*ne Rrugen B ndriqimi nuk funksionon.,/photo/855.0.jpeg?1dd2cac2
1731179638-37,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         20:53,  5 Gsh 2017,
                Përditësimi i fundit 09:03,  9 Gsh 2017",https://ndreqe.com/report/855,"Raportuar në kategorinë Ndriçim publik nga anonim në 20:53, Sht  5 gusht 2017",*ne Rrugen B ndriqimi nuk funksionon.,/photo/855.1.jpeg?93efb91d
1731179638-38,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         20:53,  5 Gsh 2017,
                Përditësimi i fundit 09:03,  9 Gsh 2017",https://ndreqe.com/report/855,"Raportuar në kategorinë Ndriçim publik nga anonim në 20:53, Sht  5 gusht 2017",*ne Rrugen B ndriqimi nuk funksionon.,/photo/855.2.jpeg?e4d6d34c
1731179642-39,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         21:09,  9 Gsh 2017,
                Përditësimi i fundit 07:29, 14 Gsh 2017",https://ndreqe.com/report/861,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 21:09, M�r  9 gusht 2017","Rruga Arben Ukshini ne Hajvali,eshte ne gjendje shum tkeqe do te ishte mir te asfaltohej,dhe te ket trotuar ,po ashtu edhe ndriqim publik nuk ka (qe e ben tveshtir kalimin ne kemb gjate nates pasi qe ka shum qenë endacak.",/photo/861.0.jpeg?a548f3de
1731179642-40,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         21:09,  9 Gsh 2017,
                Përditësimi i fundit 07:29, 14 Gsh 2017",https://ndreqe.com/report/861,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 21:09, M�r  9 gusht 2017","Rruga Arben Ukshini ne Hajvali,eshte ne gjendje shum tkeqe do te ishte mir te asfaltohej,dhe te ket trotuar ,po ashtu edhe ndriqim publik nuk ka (qe e ben tveshtir kalimin ne kemb gjate nates pasi qe ka shum qenë endacak.",/photo/861.1.jpeg?78473d5d
1731179642-41,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         21:09,  9 Gsh 2017,
                Përditësimi i fundit 07:29, 14 Gsh 2017",https://ndreqe.com/report/861,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 21:09, M�r  9 gusht 2017","Rruga Arben Ukshini ne Hajvali,eshte ne gjendje shum tkeqe do te ishte mir te asfaltohej,dhe te ket trotuar ,po ashtu edhe ndriqim publik nuk ka (qe e ben tveshtir kalimin ne kemb gjate nates pasi qe ka shum qenë endacak.",/photo/861.2.jpeg?7f686eeb
1731179645-42,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         16:39, 18 Tet 2017,
                Përditësimi i fundit 14:22, 19 Tet 2017",https://ndreqe.com/report/958,"Raportuar në kategorinë Ndriçim publik nga anonim në 16:39, M�r 18 tetor 2017",Mungon ndriqimi ne parkingun mbrapa nderteses.,/photo/958.0.jpeg?08bc1bda
1731179648-43,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         18:46, 27 Tet 2017,
                Përditësimi i fundit 10:06, 30 Tet 2017",https://ndreqe.com/report/965,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:46, Pre 27 tetor 2017","I/E nderuar,",/photo/965.0.jpeg?9e4769f6
1731179648-44,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         18:46, 27 Tet 2017,
                Përditësimi i fundit 10:06, 30 Tet 2017",https://ndreqe.com/report/965,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:46, Pre 27 tetor 2017","I/E nderuar,",/photo/965.1.jpeg?fbc28466
1731179648-45,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         18:46, 27 Tet 2017,
                Përditësimi i fundit 10:06, 30 Tet 2017",https://ndreqe.com/report/965,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:46, Pre 27 tetor 2017","I/E nderuar,",/photo/965.2.jpeg?ff171c7d
1731179651-46,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         14:46,  5 Dhj 2017,
                Përditësimi i fundit 08:34,  7 Dhj 2017",https://ndreqe.com/report/1017,"Raportuar në kategorinë Mbeturina nga anonim në 14:46, Mar  5 dhjetor 2017","Kontejneret e berrlogut jane te vendosura ne rruge! Cdo dite vozitesit rrezikojne gjate kalimit andej, ngase rruga eshte e ngushtuar! Pjesa mrapa ka mbetje te ngurta ( asfallt ) te hedhur ne menyre te jashte ligjshme. Intervenimimi eshte urgjent!",/photo/1017.0.jpeg?2bbc336a
1731179651-47,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         14:46,  5 Dhj 2017,
                Përditësimi i fundit 08:34,  7 Dhj 2017",https://ndreqe.com/report/1017,"Raportuar në kategorinë Mbeturina nga anonim në 14:46, Mar  5 dhjetor 2017","Kontejneret e berrlogut jane te vendosura ne rruge! Cdo dite vozitesit rrezikojne gjate kalimit andej, ngase rruga eshte e ngushtuar! Pjesa mrapa ka mbetje te ngurta ( asfallt ) te hedhur ne menyre te jashte ligjshme. Intervenimimi eshte urgjent!",/photo/1017.1.jpeg?1142e6b5
1731179654-48,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         19:13,  8 Dhj 2017,
                Përditësimi i fundit 10:41, 11 Dhj 2017",https://ndreqe.com/report/1030,"Raportuar në kategorinë Ndriçim publik nga anonim në 19:13, Pre  8 dhjetor 2017",*Ne lagjen Sofali mungon ndriqimi publim pothuajse ne te gjithe lagjen,/photo/1030.0.jpeg?ba9016c7
1731179657-49,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         09:47, 31 Dhj 2017",https://ndreqe.com/report/1455,"Raportuar në kategorinë Mbeturina nga anonim në 09:47, Die 31 dhjetor 2017","*Prishtinë-Gjilan, Matiqan, Kishnicë, Prishtinë, Rrafsh i Kosovës.",/photo/1455.0.jpeg?938a4d6b
1731179660-50,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         13:10, 11 Jan 2018",https://ndreqe.com/report/2000,"Raportuar në kategorinë Mbeturina nga anonim në 13:10, Enj 11 janar 2018","*M-9, Pristina, Rrafsh i Kosovës",/photo/2000.0.png?93ee6fb3
